smiles	CYP3A4	hERG_pIC50
[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2ccncc2	5.9	*
[O-][N+](=O)c1ccc(Cl)c(c1)S(=O)(=O)N2CCC(CC2)C(=O)OCC(=O)Nc3ncc(Cl)cc3Cl	5.3	*
[O-][N+](=O)c1ccc(N2CCCCC2)c(c1)C(=O)c3ccc(Br)cc3	5.45	*
[O-][N+](=O)c1ccc(N2CCCCCC2)c(c1)S(=O)(=O)N3CCCCC3	5.3	*
[O-][N+](=O)c1ccc(N2CCN(Cc3ccccc3)CC2)c(c1)S(=O)(=O)N4CCOCC4	4.9	*
[O-][N+](=O)c1ccc(N2CCN(CCOc3nonc3c4ccccc4)CC2)c(Cl)c1	4.85	*
[O-][N+](=O)c1ccc(NC(=O)\C(=C\c2cccc(c2)[N+](=O)[O-])\NC(=O)C3CCCCC3)cc1	6.25	*
[O-][N+](=O)c1ccc(Nc2nc(N\N=C/c3ccc4OCOc4c3)nc(n2)N5CCCCC5)cc1	5.9	*
[O-][N+](=O)c1ccc(Nc2nc3ccccc3s2)cc1	5.3	*
[O-][N+](=O)c1ccc(NCCCCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)c6nonc16	*	7.6
[O-][N+](=O)c1ccc(NCCNC(=O)c2ccccc2Br)cc1	4.55	*
[O-][N+](=O)c1ccc(Oc2cccc(\C=N\NC(=O)c3cncc(Br)c3)c2)c(c1)[N+](=O)[O-]	5.9	*
[O-][N+](=O)c1ccc(OCC(=O)Nc2ccc(cc2)C(=O)NCc3cccnc3)cc1	4.9	*
[O-][N+](=O)c1ccc(OCC(=O)NN=C2CCCC2)cc1	4.6	*
[O-][N+](=O)c1ccc2[nH]c3c(ncnc3c2c1)N4CCN(CCc5ccc(F)c(F)c5)CC4	4.9	*
[O-][N+](=O)c1ccc2[nH]cnc2c1	4.6	*
[O-][N+](=O)c1ccc2C(=O)n3c(nc4ccccc34)c5cccc1c25	6.05	*
[O-][N+](=O)c1ccc2C(=O)NC(=O)c2c1	4.8	*
[O-][N+](=O)c1ccc2CCc3cccc1c23	4.5	*
[O-][N+](=O)c1ccc2cn[nH]c2c1	4.9	*
[O-][N+](=O)c1ccc2nc(ccc2c1)N3CCNCC3	5	*
[O-][N+](=O)c1ccc2nc(SCC(=O)c3ccc4ccccc4c3)sc2c1	5.4	*
[O-][N+](=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1	*	4.61
[O-][N+](=O)c1ccc2sc(cc2c1)C(=O)N\N=C\c3cccc4ccc(OCC=C)cc34	5.6	*
[O-][N+](=O)c1cccc(\C=C(/NC(=O)c2ccccc2)\C(=O)N\N=C\c3occc3)c1	5.95	*
[O-][N+](=O)c1cccc(\C=N/NC2=CS(=O)(=O)C=C2)c1	5.3	*
[O-][N+](=O)c1cccc(\C=N\Nc2cc(Cl)nc(n2)c3ccccc3)c1	4.75	*
[O-][N+](=O)c1cccc(c1)\C(=N\N=C\c2ccccc2Br)\C34CN5CN(CN(C5)C3)C4	4.5	*
[O-][N+](=O)c1cccc(c1)C(=O)N(CCCCN2C(=O)c3ccccc3C2=O)c4ccc(Cl)cc4	4.95	*
[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc(cs2)c3ccccc3	5	*
[O-][N+](=O)c1cccc(c1)C(=O)NCc2ccccn2	4.75	*
[O-][N+](=O)c1cccc(c1)C2=NOC3(CN(Cc4ccccc4)CC23)C(=O)NCc5ccccc5	5.15	*
[O-][N+](=O)c1cccc(c1)c2nc(c3cccs3)c([nH]2)c4cccs4	4.9	*
[O-][N+](=O)c1cccc(c1)c2nnn(n2)C34CC5CC(CC(C5)C3)C4	5.05	*
[O-][N+](=O)c1cccc(c1)c2oc(cc2)C(=O)NC(=S)Nc3cccc(Cl)c3N4CCCC4	5.35	*
[O-][N+](=O)c1cccc(c1)c2onc(n2)c3ccncc3	6.25	*
[O-][N+](=O)c1cccc(c1)S(=O)(=O)Nc2ccccc2C(=O)N3CCOCC3	4.75	*
[O-][N+](=O)c1cccc(CNc2cc(cc3ncc(cc23)N4CCN(CC4)C(=O)\C=C\[C@@H]5CCCN5)C(F)(F)F)c1	*	4.06
[O-][N+](=O)c1cccc(CNc2cc(cc3ncc(cc23)N4CCN(CC4)C(=O)N5CCOCC5)C(F)(F)F)c1	*	6.41
[O-][N+](=O)c1cccc(NC(=O)c2ccc(CSc3ccccc3)cc2)c1	4.7	*
[O-][N+](=O)c1cccc(NC(=O)CCC(=O)OCc2ccc(Cl)cc2)c1	4.95	*
[O-][N+](=O)c1cccc(NC(=O)Nc2ccc(cc2)c3ccnc4[nH]cnc34)c1	7.22	*
[O-][N+](=O)c1cccc2[nH]c3c(ncnc3c12)N4CCN(CCc5ccc(F)c(F)c5)CC4	5.18	*
[O-][N+](=O)c1cccc2C(=O)N(C(=O)c12)c3ncn[nH]3	5.4	*
[O-][N+](=O)c1cccc2c(Br)n[nH]c12	4.9	*
[O-][N+](=O)c1cccc2c1c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n2Cc6cccnc6	5.09	*
[O-][N+](=O)c1cccc2c1c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n2Cc6ccncc6	5.24	*
[O-][N+](=O)c1cccc2c1c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n2CCc6ccccc6	4.93	*
[O-][N+](=O)c1cccc2cn[nH]c12	4.4	*
